Title,Authors,Genre,Price,Rating,Description,Image
Report of Activities,Manitoba. Geological Survey,Geology,,,,http://books.google.com/books/content?id=xGeFu_HHq-kC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Canadian Journal of Botany,,Botany,,,,http://books.google.com/books/content?id=EjeJawe2EOAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Census of India, 1981: District census handbook. A. Village & town directory ; B. Village & townwise primary census abstract",,Bihar (India),,,,http://books.google.com/books/content?id=03ObgT8NXrwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Materials for a Flora of the Malayan Peninsula,Sir George King,Botany,,,,http://books.google.com/books/content?id=PE-VDCFxa5sC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Annual and Biennial Reports for ... Made to the ... General Assembly of the State of Ohio,Ohio,Ohio,,,,http://books.google.com/books/content?id=xiD6ABLrMOYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Nautical Almanac and Astronomical Ephemeris for the Year ...,,Nautical almanacs,,,,http://books.google.com/books/content?id=5mVX4aCaXGwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Shorthand Collection in the Free Reference Library,"Manchester Public Libraries (Manchester, England)",Shorthand,,,,http://books.google.com/books/content?id=eNAMmRn2DVAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Ganong's Review of Medical Physiology 25th Edition,"Kim E. Barrett, Susan M. Barman, Scott Boitano, Heddwen L. Brooks",Medical,35.14 EUR,,"The leading text on human physiology for more than four decades A Doody's Core Title for 2024! For more than four decades, Ganong’s Review of Medical Physiology has been helping those in the medical field understand human and mammalian physiology. Applauded for its interesting and engagingly written style, Ganong’s concisely covers every important topic without sacrificing depth or readability and delivers more detailed, high-yield information per page than any other similar text or review. Thoroughly updated to reflect the latest research and developments in important areas. Ganong’s Review of Medical Physiology incorporates examples from clinical medicine to illustrate important physiologic concepts. More than 600 full-color illustrations Two types of review questions: end-of-chapter and board-style NEW! Increased number of clinical cases and flow charts",http://books.google.com/books/content?id=IUPNCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Record of Proceedings,,CD-ROMs,,,,http://books.google.com/books/content?id=x5XzVLOg6KMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Radio Science,,Radio meteorology,,,,http://books.google.com/books/content?id=NZEhENDMEvoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Introductory Mathematical Analysis for Business, Economics, and the Life and Social Sciences","Ernest F. Haeussler, Richard S. Paul",Business & Economics,,,"Introducing mathematical analysis to business, economics and social science students, this text begins with non-calculus topics such as equations, functions, linear programming and probability. The work then progresses through both single-variable and multivariable calculus.",http://books.google.com/books/content?id=BTB5nlkmgp4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Fiji Royal Gazette,Fiji,Fiji,,,,http://books.google.com/books/content?id=6zriy2NqWhUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Sportswoman,Constance M. K. Applebee,Athletics,,,,http://books.google.com/books/content?id=Ty_bs8MXN1wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Veröffentlichungen Der Zoologischen Staatssammlung München,,Zoology,,,,http://books.google.com/books/content?id=S6DOOUAmyr4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
New Serial Titles,,Periodicals,,,"A union list of serials commencing publication after Dec. 31, 1949.",http://books.google.com/books/content?id=1MruqrWx5igC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Catalogue of Ionospheric Data WDC-C2,,Ionosphere,,,,http://books.google.com/books/content?id=GXPbtTTYAzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
