Title,Authors,Genre,Price,Rating,Description,Image
"CISSP Bundle, Fourth Edition","Shon Harris, Fernando Maymi, Jonathan Ham",Computers,73.55 EUR,,"Prepare for the 2018 CISSP exam with this up-to-date, money-saving study packageDesigned as a complete self-study program, this collection offers a wide variety of proven, exam-focused resources to use in preparation for the current edition of the CISSP exam. The set bundles the eighth edition of Shon Harris’ bestselling CISSP All-in-One Exam Guide and CISSP Practice Exams, Fifth Edition—. You will gain access to a variety of comprehensive resources to get ready for the challenging exam. CISSP Bundle, Fourthe Edition fully covers all eight exam domains and offers real-world insights from the authors’ professional experiences. More than 2500 accurate practice exam questions are provided, along with in-depth explanations of both the correct and incorrect answers. The included Total Tester test engine provides full-length, timed simulated exams or customized quizzes that target selected chapters or exam objectives.•Presents 100% coverage of the 2018 CISSP Exam•Includes special discount to Shon Harris Brand CISSP video training from Human Element Security•Written by leading experts in IT security certification and training",http://books.google.com/books/content?id=4SaDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Postal Bulletin,,Postal service,,,,http://books.google.com/books/content?id=__2o_-cUlDYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Report on Conditions for Inclusion of State Route 65 (Roseville Bypass) in the 1980 State Transportation Improvement Program,Alan L. Stein,Roads,,,,http://books.google.com/books/content?id=BVNTb8lvyOAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Stenographer and Phonographic World,,Business education,,,,http://books.google.com/books/content?id=EBaTbMDlUwIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Herald and Presbyter,,,,,,http://books.google.com/books/content?id=qDTEY0R1SMcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Contract Record and Engineering Review,,,,,,http://books.google.com/books/content?id=oaxi-SMm0g0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Press Release,United States. War Production Board. Division of Labor,,,,,http://books.google.com/books/content?id=5ULXZKkBajEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Educational Media and Technology Yearbook,,Educational technology,,,,http://books.google.com/books/content?id=R2pRXZBtsU4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
WLA,,"Vietnam War, 1961-1975",,,,http://books.google.com/books/content?id=WFEVFWU4-EMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The W.B.A. Review,,Women,,,,http://books.google.com/books/content?id=HEp_U8eiMhoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Choice,,Academic libraries,,,,http://books.google.com/books/content?id=o5A6b1NlZXwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Science,John Michels (Journalist),Science,,,,http://books.google.com/books/content?id=oxgTTHGMgCEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Merchants Trade Journal,,Department stores,,,,http://books.google.com/books/content?id=VYv-Nc6HmWwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Ontario. Canada. Department of Agriculture. Annual Report,,,,,,http://books.google.com/books/content?id=L8SCRdxHKKYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Journal of Arizona History,,American periodicals,,,,http://books.google.com/books/content?id=kLsPClu6NBgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Congregationalist and Christian World,,Congregational churches,,,,http://books.google.com/books/content?id=HMG-PlpPYckC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Journal of the American Institute of Architects,,Architecture,,,,http://books.google.com/books/content?id=4A0OoTl0jG8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
English Translations of Homer,Douglas Bush,,,,,http://books.google.com/books/content?id=aPDVBZRsaJYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Reports of the Public Service Commission of the State of Missouri,Missouri Public Service Commission,Public utilities,,,,http://books.google.com/books/content?id=7RGf-8m6HpgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Desire September 2017 Books 1 -4: A Family for the Billionaire (Billionaires and Babies) / Little Secrets: The Baby Merger (Little Secrets) / Taking Home the Tycoon (Texas Cattleman's Club: Blackmail) / The Heir Affair (Las Vegas Nights),"Dani Wade, Yvonne Lindsay, Catherine Mann, Cat Schield",Fiction,9.79 EUR,,"Four stories of love, lust and desire from the romance writers you need to read!",http://books.google.com/books/content?id=1BIoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"DeVitis v. Newcomb-Endicott Co., 264 MICH 1 (1933)",,,,,22,http://books.google.com/books/content?id=Ew3tqcVA5OwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Musical Times,,Music,,,,http://books.google.com/books/content?id=NWxKZQwF_50C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Library Instruction,University of the State of New York,Library orientation,,,,http://books.google.com/books/content?id=uULnrw0lFiAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Roman Catholic Church in Italy,Alexander Robertson,,,,,http://books.google.com/books/content?id=1qVo_EZvP1QC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"A Manual of the Writings in Middle English, 1050-1400","John Edwin Wells, Connecticut Academy of Arts and Sciences",English literature,,,,http://books.google.com/books/content?id=ymBqKT__N4QC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"A History of Jewellery, 1100-1870",Joan Evans,Antiques & Collectibles,,,"Superb sourcebook of rare ornamentation includes meticulously detailed narrative and 400 illustrations depicting priceless brooches, necklaces, clasps, gold padlock, reliquary pendants, much more.",http://books.google.com/books/content?id=KgUJmQYEm9wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"General History of Civilization in Europe, From the Fall of the Roman Empire to the French Revolution",M François Guizot,,,,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the ""public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=vCWOzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Island Stories,David Reynolds,History,,,"This history of Britain set in a global context for our times offers a new perspective on how the rise and fall of an empire shaped modern European politics. When the British voted to leave the European Union in 2016, the country's future was thrown into doubt. So, too, was its past. The story of British history is no longer a triumphalist narrative of expanding global empire, nor one of ever-closer integration with Europe. What is it now? In Island Stories, historian David Reynolds offers a multi-faceted new account of the last millennium to make sense of Britain's turbulent present. With sharp analysis and vivid human detail, he examines how fears of decline have shaped national identity, probes Britain's changing relations with Europe, considers the creation and erosion of the ""United Kingdom,"" and reassesses the rise and fall of the British Empire. Island Stories is essential reading for anyone interested in global history and politics in the era of Brexit.",http://books.google.com/books/content?id=I1aUyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
India: The Ancient Past,Burjor Avari,History,,,"This carefully crafted study presents the fascinating story of the development and establishment of India’s culture and civilization from early pre-history through to the early second millennium. Encompassing topics such as the Harappan Civilization, the rise of Hindu culture, the influx of Islam in the eighth and the eleventh/twelfth centuries and key empires, states and dynasties, India: The Ancient Past engages with methodological and controversial issues. Key features of this illustrated guide include: a range of maps illustrating different temporal and geographical regions selected source extracts at the end of each chapter, for review and reflection questions for discussion. This book provides comprehensive coverage of the political, spiritual, cultural and geographical history of India, making it an enriching read for anyone with an interest in this captivating period of history.",http://books.google.com/books/content?id=DmB_AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Introduction to a History of the Factory System,Richard Whately Cooke-Taylor,Factory system,,,,http://books.google.com/books/content?id=9S4pAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Old-English History,Edward Augustus Freeman,,,,,
Liberty for All?,Joy Hakim,History,,3,Presents the history of America from the earliest times of the Native Americans to the Clinton administration.,http://books.google.com/books/content?id=qI4hZ5KsBdMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Challenging Traditional Views of Russian History,S. Wheatcroft,History,,,This collection presents views on key aspects of Russian/Soviet history such as the non-Slavic sources of Russian statehood; tsarist penal systems; the pre-evolutionary technological level; the famine of 1931-3; patronage practices in Stalin's Russia; and the fall of the Soviet Union.,http://books.google.com/books/content?id=3Gi5jwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
History of the Conquest of Mexico,William Hickling Prescott,Mexico,,,,http://books.google.com/books/content?id=NGNv4ZQNPVQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Library of American History from the Discovery of America to the Present Time,Edward Sylvester Ellis,,,,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=wml6jgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Environment and History,"William Beinart, Peter Coates",History,42.79 EUR,,"The influence of human economies and cultures on ecosystems is particularly striking in the new worlds into which Europeans have expanded over the past five hundred years. Using a comparative and multidisciplinary approach, Beinart and Coates examine this neglected aspect of the history of settler incursion and dominance in two frontier nations, the USA and South Africa. They also seek to explain change in indigenous ideas and practices towards the environment, and discuss the rise of popular environmentalism up to the present day.",http://books.google.com/books/content?id=JqWHAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Truth,Felipe Fernández-Armesto,Philosophy,28.88 EUR,,"Written by a renowned Oxford historian, this fascinating volume presents a global history of truth. Sharp and authoritative, Truth manages to touch every period of human experience; it leaps from truth-telling technologies of ""primitive"" societies to the private mental worlds of great philosophers; from spiritualism to science and from New York to New Guinea. In clear, lucid prose, this little book takes on an enormous subject and makes it understandable to anyone.",http://books.google.com/books/content?id=gUCFAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Methodology in Sports History,"Wray Vamplew, Dave Day",Sports & Recreation,53.49 EUR,,"The process of converting the ‘past’ into ‘history’ involves engagement with a multitude of different sources and methods, and sports historians inevitably participate in the same debates over approaches and methodologies as their counterparts in other historical disciplines. At its heart, history remains a genre of empirical knowledge that is based upon the remains of the past, and without suitable evidence, there can be no sports history. A burgeoning range of sources has stimulated new ways of thinking and a significant expansion in the sports historian’s evidentiary base, as textual sources have been supplemented by photos, films and cartoons, uniforms, architecture, maps and landscapes, and material culture more generally. This book deals with some of these innovations. It is divided into two sections, the first offering chapter-length studies of particular methodologies, and the second, brief responses from experts in their fields to the question ‘what can sports historians learn from other disciplines?’",http://books.google.com/books/content?id=PjSoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
From Grand Duchy to Modern State,"Osmo Jussila, Seppo Hentilä, Jukka Nevakivi",History,,,"In this book historians Osmo Jussila, Seppo Hentilä, and Jukka Nevakivi cover the three periods of Finland's history since 1809. Their fast-moving narrative style brings to life the interaction of social and political forces and powerful personalities in a country whose destiny has been determined by its geopolitical situation between Eastern and Western Europe. From the twelfth to the early nineteenth century, Finland was ruled by Sweden, which bequeathed to it Western-style political, economic, and cultural institutions. From 1809 to the Bolshevik Revolution, it was an autonomous Grand Duchy within the Russian Empire with its own parliament, army, and currency. The Finns won their independence in 1917 but had to fight two wars against the Soviets?the Winter War of 1939?40 and the so-called Continuation War of 1941?44?to maintain their freedom. The Cold War presented further challenges as Finland sought to balance its position within the Soviet sphere of influence without succumbing to communist dictatorship. This balancing act was successfully achieved by adroit diplomatic and economic means, with Finland acting as a bridgehead between East and West in both spheres. In the 1960s and 1970s, the country achieved a high level of economic and social development supported by an extensive welfare state and in 1995 voted to join the European Union.",http://books.google.com/books/content?id=lbu8QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
When Does History Begin?,Harjot Oberoi,History,,,"""Documents how the premodern techniques of narrating the past and truth-telling in South Asia were deeply transformed by colonialism, particularly among the Sikhs in northern India""--",http://books.google.com/books/content?id=9hlrzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"History of Friedrich the Second, Called Frederick the Great ...",Thomas Carlyle,,,,,
From Natural Philosophy to the Sciences,David Cahan,History,,3,"During the nineteenth century, much of the modern scientific enterprise took shape: scientific disciplines were formed, institutions and communities were founded, and unprecedented applications to and interactions with other aspects of society and culture occurred. In this book, eleven leading historians of science assess what their field has taught us about this exciting time and identify issues that remain unexamined or require reconsideration. They treat both scientific disciplines—biology, physics, chemistry, the earth sciences, mathematics, and the social sciences—in their specific intellectual and sociocultural contexts as well as the broader topics of science and medicine; science and religion; scientific institutions and communities; and science, technology, and industry. Providing a much-needed overview and analysis of a rapidly expanding field, From Natural Philosophy to the Sciences will be essential for historians of science, but also of great interest to scholars of all aspects of nineteenth-century life and culture. Contributors: Bernadette Bensaude-Vincent, Jed Z. Buchwald, David Cahan, Joseph Dauben, Frederick Gregory, Michael Hagner, Sungook Hong, David R. Oldroyd, Theodore M. Porter, Robert J. Richards, Ulrich Wengenroth",http://books.google.com/books/content?id=k5qgGcZVOugC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Outline of History ,H.G. Wells,,,,,http://books.google.com/books/content?id=nW0WLlWTWakC&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Short History of the World,John Morris Roberts,History,,,Chronologically discusses the events of history beginning with the evolution of man and ending with the restructuring of Western Europe in 1993.,http://books.google.com/books/content?id=3QZXvUhGwhAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Encounters in Wartime Italy,"Fabio Simonetti, Lecturer in European History and Politics Fabio Simonetti",History,,,"Encounters in Wartime Italy provides an in-depth study of ordinary encounters between British soldiers and Italian civilians during the Allied occupation of Sicily, Naples, and Rome (1943-1947). Drawing on diaries, letters, memoirs, interviews, and official records, Fabio Simonetti analyses the perception of occupiers and occupied.",http://books.google.com/books/content?id=wLBs0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Cabinet of Byzantine Curiosities,Anthony Kaldellis,History,8.22 EUR,,"Weird, decadent, degenerate, racially mixed, superstitious, theocratic, effeminate, and even hyper-literate, Byzantium has long been regarded by many as one big curiosity. According to Voltaire, it represented ""a worthless collection of miracles, a disgrace for the human mind""; for Hegel, it was ""a disgusting picture of imbecility."" A Cabinet of Byzantine Curiosities will churn up these old prejudices, while also stimulating a deeper interest among readers in one of history's most interesting civilizations. Many of the zanier tales and trivia that are collected here revolve around the political and religious life of Byzantium. Thus, stories of saints, relics, and their miracles-from the hilarious to the revolting-abound. Byzantine bureaucracy (whence the adjective ""Byzantine""), court scandals, and elaborate penal code are world famous. And what would Byzantium be without its eunuchs, whose ambiguous gender produced odd and risible outcomes in different contexts? The book also contains sections on daily life that are equally eye-opening, including food (from aphrodisiacs to fermented fish sauce), games such as polo and acrobatics, and obnoxious views of foreigners and others (e.g., Germans, Catholics, Arabs, dwarves). But lest we overlook Byzantium's more honorable contributions to civilization, also included are some of the marvels of Byzantine science and technology, from the military (flamethrowers and hand grenades) to the theatrical (""elevator"" thrones, roaring mechanical lions) and medical (catheters and cures, some bizarre). This vast assortment of historical anomaly and absurdity sheds vital light on one of history's most obscure and orthodox empires.",http://books.google.com/books/content?id=HXQzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Witch,Ronald Hutton,History,,,This book sets the notorious European witch trials in the widest and deepest possible perspective and traces the major historiographical developments of witchcraft,http://books.google.com/books/content?id=QDYuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Jewish Journey,Edward Gelles,History,36.44 EUR,,"The history of European Jewry is a vast and complex subject. In this book, Edward Gelles traces Jewish history in Europe and the Near East including population movement, settlement, integration, advancement in aspects of European culture and learning, relations with European states and dynasties, Christians and Ottomans, persecution, the world wars, anti-Semitism, indeed the story of European Jewry from early times to the present. Edward Gelles and his family, both immediate and in their wider circle have huge and distinguished family connections that provide historical context. In combining biography, traditional genealogy and a contribution from the rapidly developing field of genetic genealogy this book weaves emerging patterns into the grand tapestry of European history.",http://books.google.com/books/content?id=RqCLDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Bulletin of the Wisconsin Natural History Society,Wisconsin Natural History Society,Natural history,,,,http://books.google.com/books/content?id=VZGJ6c0rd1wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
My Desire for History,Allan Bérubé,Social Science,,,"This anthology pays tribute to Allan Berube (1946-2007), a self-taught historian and MacArthur Fellow who was a pioneer in the study of lesbian and gay history in the United States. Best known for his Lambda Literary Award-winning book Coming Out Under Fire: The History of Gay Men and Women in World War II (1990), Berube also wrote extensively on the history of sexual politics in San Francisco and on the relationship between sexuality, class, and race. John D'Emilio and Estelle Freedman, who were close colleagues and friends of Berube, have selected sixteen of his most important essays, including hard-to-access articles and unpublished writing. The book provides a retrospective on Berube's life and work while it documents the emergence of a grassroots lesbian and gay community history movement in the 1970s and 1980s. Taken together, the essays attest to the power of history to mobilize individuals and communities to create social change.",http://books.google.com/books/content?id=8mJN7pcpERAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Teaching of History in Elementary and Secondary Schools (Classic Reprint),Henry Johnson,Education,,,"Excerpt from Teaching of History in Elementary and Secondary Schools IN beginning his illuminating treatment of the Holy Roman Empire, Lord Bryce wrote: In history there is nothing isolated, and just as to explain a modern act of Parliament, or a modern conveyance of lands, we must go back to the feudal customs of the thirteenth century, so among the institutions of the Middle Ages there is scarcely one which can be understood until it is traced up either to classical or to primitive Teutonic antiquity. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",http://books.google.com/books/content?id=tWgvtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Archive, Slow Ideology and Egodocuments as Microhistorical Autobiography",Sigurður Gylfi Magnússon,History,29.95 EUR,,"This book aims to demonstrate how scholars in recent times have been utilizing egodocuments from various angles and providing an opening for the multivocality of the sources to be fully appreciated. The first part of the book is concerned with the significance of egodocuments, both for the individual him/herself who creates such documents, and also for the other, who receives them. The author approaches the subject on the basis of his own personal experience, and goes on to discuss the importance of such documents for the academic world, emphasizing more general questions and issues within the fields of historiography, philosophy of history, microhistory, and memory studies. The second part of the book is based upon a photographic collection – an archive – that belonged to the author’s grandfather, who over decades accumulated photographs of vagabonds and outsiders. This part seeks to explore what kind of knowledge can be applied when a single source – an archive, document, letter, illustration, etc. – is examined, and whether the knowledge derived may not be quite as good in its own context as in the broader perspective.",http://books.google.com/books/content?id=3l5CEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A History of Energy Flows,Anthony N. Penna,Nature,56.7 EUR,,"This book presents a global and historical perspective of energy flows during the last millennium. The search for sustainable energy is a key issue dominating today’s energy regime. This book details the historical evolution of energy, following the overlapping and slow flowing transitions from one regime to another. In doing so it seeks to provide insight into future energy transitions and the means of utilizing sustainable energy sources to reduce humanity’s fossil fuel footprint. The book begins with an examination of the earliest and most basic forms of energy use, namely, that of humans metabolizing food in order to work, with the first transition following the domestication and breeding of horses and other animals. The book also examines energy sources key to development during the industrialization and mechanization, such as wood and coal, as well as more recent sources, such as crude oil and nuclear energy. The book then assesses energy flows that are at the forefront of sustainability, by examining green sources, such as solar, wind power and hydropower. While it is easy to see energy flows in terms of “revolutions,” transitions have taken centuries to evolve, and transitions are never fully global, as, for example, wood remains the primary fuel source for cooking in much of the developing world. This book not only demonstrates the longevity of energy transitions but also discusses the possibility for reducing transition times when technological developments provide inexpensive and safe energy sources that can reduce the dependency on fossil fuels. This book will be of great interest to students and scholars of energy transitions, sustainable energy and environmental and energy history.",http://books.google.com/books/content?id=gMyxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Story of the Irish Race,Seumas MacManus,,,,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=Mk86jgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Cultural History of Genocide,Paul R Bartrop,History,,,A comprehensive six-volume reference work which thematically covers the history of genocide from antiquity through to the present day.,http://books.google.com/books/content?id=bnUDEQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The History of England from the Accession of James the Second,Thomas Babington Macaulay,,,,,http://books.google.com/books/content?id=MlZhAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Polis & Politics,"Pernille Flensted-Jensen, Thomas Heine Nielsen, Mogens Herman Hansen, Lene Rubinstein",History,,,"Contains 35 articles devoted to different aspects of the Greek polis and is intended not only as a present for Mogens Herman Hansen on his sixtieth birthday, but also as a way of thanking him for his significant contributions to the field of Greek history over the past three decades.",http://books.google.com/books/content?id=SIAO_OsNG_gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Letters on the Study and Use of History,Henry St. John Bolingbroke (Viscount),History,,,,
The Second World War,Alan John Percivale Taylor,History,,,,http://books.google.com/books/content?id=6pbtAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Origins of Nationalism,Caspar Hirschi,HISTORY,,,"""In this wide-ranging work, Caspar Hirschi offers new perspectives on the origins of nationalism and the formation of European nations. Based on extensive study of written and visual sources dating from the ancient to the early modern period, the author re-integrates the history of pre-modern Europe into the study of nationalism, describing it as an unintended and unavoidable consequence of the legacy of Roman imperialism in the Middle Ages. Hirschi identifies the earliest nationalists among Renaissance humanists, exploring their public roles and ambitions to offer new insight into the history of political scholarship in Europe and arguing that their adoption of ancient role models produced massive contradictions between their self-image and political function. This book demonstrates that only through understanding the development of the politics, scholarship and art of pre-modern Europe can we fully grasp the global power of nationalism in a modern political context""--",
Humans,Tom Phillips,Disasters,,,"***THE INTERNATIONAL BESTSELLER*** 'This book is brilliant. Utterly, utterly brilliant' Jeremy Clarkson 'F*cking brilliant' Sarah Knight AN EXHILARATING JOURNEY THROUGH THE MOST CREATIVE AND CATASTROPHIC F*CK-UPS OF HUMAN HISTORY In the seventy thousand years that modern human beings have walked this earth, we've come a long way. Art, science, culture, trade - on the evolutionary food chain, we're real winners. But, frankly, it's not exactly been plain sailing, and sometimes - just occasionally - we've managed to really, truly, quite unbelievably f*ck things up. From Chairman Mao's Four Pests Campaign, to the American Dustbowl; from the Austrian army attacking itself one drunken night, to the world's leading superpower electing a reality TV mogul as President... it's pretty safe to say that, as a species, we haven't exactly grown wiser with age. So, next time you think you've really f*cked up, this book will remind you: it could be so much worse... FURTHER PRAISE FOR HUMANS: 'Very funny' Mark Watson 'A light-touch history of moments when humans have got it spectacularly wrong... Both readable and entertaining' The Telegraph 'Chronicles humanity's myriad follies down the ages with malicious glee and much wit ... a rib-tickling page-turner' Business Standard 'A timely, irreverent gallop through thousands of years of human stupidity' Nicholas Griffin, Ping-Pong Diplomacy: The Secret History Behind the Game That Changed the World",http://books.google.com/books/content?id=s4ujtQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
