Title,Authors,Genre,Price,Rating,Description,Image
From Natural Philosophy to the Sciences,David Cahan,History,,3,"During the nineteenth century, much of the modern scientific enterprise took shape: scientific disciplines were formed, institutions and communities were founded, and unprecedented applications to and interactions with other aspects of society and culture occurred. In this book, eleven leading historians of science assess what their field has taught us about this exciting time and identify issues that remain unexamined or require reconsideration. They treat both scientific disciplines—biology, physics, chemistry, the earth sciences, mathematics, and the social sciences—in their specific intellectual and sociocultural contexts as well as the broader topics of science and medicine; science and religion; scientific institutions and communities; and science, technology, and industry. Providing a much-needed overview and analysis of a rapidly expanding field, From Natural Philosophy to the Sciences will be essential for historians of science, but also of great interest to scholars of all aspects of nineteenth-century life and culture. Contributors: Bernadette Bensaude-Vincent, Jed Z. Buchwald, David Cahan, Joseph Dauben, Frederick Gregory, Michael Hagner, Sungook Hong, David R. Oldroyd, Theodore M. Porter, Robert J. Richards, Ulrich Wengenroth",http://books.google.com/books/content?id=k5qgGcZVOugC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Outline of History ,H.G. Wells,,,,,http://books.google.com/books/content?id=nW0WLlWTWakC&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Short History of the World,John Morris Roberts,History,,,Chronologically discusses the events of history beginning with the evolution of man and ending with the restructuring of Western Europe in 1993.,http://books.google.com/books/content?id=3QZXvUhGwhAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Encounters in Wartime Italy,"Fabio Simonetti, Lecturer in European History and Politics Fabio Simonetti",History,,,"Encounters in Wartime Italy provides an in-depth study of ordinary encounters between British soldiers and Italian civilians during the Allied occupation of Sicily, Naples, and Rome (1943-1947). Drawing on diaries, letters, memoirs, interviews, and official records, Fabio Simonetti analyses the perception of occupiers and occupied.",http://books.google.com/books/content?id=wLBs0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Cabinet of Byzantine Curiosities,Anthony Kaldellis,History,8.22 EUR,,"Weird, decadent, degenerate, racially mixed, superstitious, theocratic, effeminate, and even hyper-literate, Byzantium has long been regarded by many as one big curiosity. According to Voltaire, it represented ""a worthless collection of miracles, a disgrace for the human mind""; for Hegel, it was ""a disgusting picture of imbecility."" A Cabinet of Byzantine Curiosities will churn up these old prejudices, while also stimulating a deeper interest among readers in one of history's most interesting civilizations. Many of the zanier tales and trivia that are collected here revolve around the political and religious life of Byzantium. Thus, stories of saints, relics, and their miracles-from the hilarious to the revolting-abound. Byzantine bureaucracy (whence the adjective ""Byzantine""), court scandals, and elaborate penal code are world famous. And what would Byzantium be without its eunuchs, whose ambiguous gender produced odd and risible outcomes in different contexts? The book also contains sections on daily life that are equally eye-opening, including food (from aphrodisiacs to fermented fish sauce), games such as polo and acrobatics, and obnoxious views of foreigners and others (e.g., Germans, Catholics, Arabs, dwarves). But lest we overlook Byzantium's more honorable contributions to civilization, also included are some of the marvels of Byzantine science and technology, from the military (flamethrowers and hand grenades) to the theatrical (""elevator"" thrones, roaring mechanical lions) and medical (catheters and cures, some bizarre). This vast assortment of historical anomaly and absurdity sheds vital light on one of history's most obscure and orthodox empires.",http://books.google.com/books/content?id=HXQzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Witch,Ronald Hutton,History,,,This book sets the notorious European witch trials in the widest and deepest possible perspective and traces the major historiographical developments of witchcraft,http://books.google.com/books/content?id=QDYuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Jewish Journey,Edward Gelles,History,36.44 EUR,,"The history of European Jewry is a vast and complex subject. In this book, Edward Gelles traces Jewish history in Europe and the Near East including population movement, settlement, integration, advancement in aspects of European culture and learning, relations with European states and dynasties, Christians and Ottomans, persecution, the world wars, anti-Semitism, indeed the story of European Jewry from early times to the present. Edward Gelles and his family, both immediate and in their wider circle have huge and distinguished family connections that provide historical context. In combining biography, traditional genealogy and a contribution from the rapidly developing field of genetic genealogy this book weaves emerging patterns into the grand tapestry of European history.",http://books.google.com/books/content?id=RqCLDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Bulletin of the Wisconsin Natural History Society,Wisconsin Natural History Society,Natural history,,,,http://books.google.com/books/content?id=VZGJ6c0rd1wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
My Desire for History,Allan Bérubé,Social Science,,,"This anthology pays tribute to Allan Berube (1946-2007), a self-taught historian and MacArthur Fellow who was a pioneer in the study of lesbian and gay history in the United States. Best known for his Lambda Literary Award-winning book Coming Out Under Fire: The History of Gay Men and Women in World War II (1990), Berube also wrote extensively on the history of sexual politics in San Francisco and on the relationship between sexuality, class, and race. John D'Emilio and Estelle Freedman, who were close colleagues and friends of Berube, have selected sixteen of his most important essays, including hard-to-access articles and unpublished writing. The book provides a retrospective on Berube's life and work while it documents the emergence of a grassroots lesbian and gay community history movement in the 1970s and 1980s. Taken together, the essays attest to the power of history to mobilize individuals and communities to create social change.",http://books.google.com/books/content?id=8mJN7pcpERAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Teaching of History in Elementary and Secondary Schools (Classic Reprint),Henry Johnson,Education,,,"Excerpt from Teaching of History in Elementary and Secondary Schools IN beginning his illuminating treatment of the Holy Roman Empire, Lord Bryce wrote: In history there is nothing isolated, and just as to explain a modern act of Parliament, or a modern conveyance of lands, we must go back to the feudal customs of the thirteenth century, so among the institutions of the Middle Ages there is scarcely one which can be understood until it is traced up either to classical or to primitive Teutonic antiquity. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",http://books.google.com/books/content?id=tWgvtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
